Latitude,Longitude,City,Country,Max Temp,Humidity,Wind Speed,Cloudiness,Date
-6.22,-57.75,jacareacanga,br,97.79,34.0,3.67,47.0,1601221698.0
-10.45,161.92,kirakira,sb,79.39,82.0,12.64,100.0,1601221698.0
-54.8,-68.3,ushuaia,ar,41.0,65.0,16.11,75.0,1601221699.0
64.25,-15.21,hofn,is,48.2,93.0,13.87,90.0,1601221699.0
-20.33,-40.29,vila velha,br,89.6,46.0,13.87,0.0,1601221478.0
25.23,77.6,kolaras,in,77.68,70.0,4.09,0.0,1601221699.0
55.68,76.75,vengerovo,ru,43.88,83.0,3.58,7.0,1601221700.0
71.92,114.08,saskylakh,ru,37.62,88.0,9.69,94.0,1601221700.0
-23.12,-134.97,rikitea,pf,74.01,83.0,12.17,21.0,1601221700.0
41.37,-73.41,bethel,us,72.0,78.0,5.82,90.0,1601221605.0
41.12,-88.84,streator,us,73.0,73.0,10.29,1.0,1601221701.0
54.23,-125.75,burns lake,ca,38.03,91.0,6.31,100.0,1601221478.0
-20.41,57.7,mahebourg,mu,71.6,83.0,11.41,75.0,1601221612.0
18.8,110.4,wanning,cn,81.05,86.0,2.08,100.0,1601221701.0
-33.65,115.33,busselton,au,57.0,81.0,8.46,100.0,1601221592.0
-46.6,168.33,bluff,nz,33.01,93.0,14.0,93.0,1601221702.0
-38.0,-57.56,mar del plata,ar,54.0,100.0,11.41,90.0,1601221700.0
-29.95,-71.34,coquimbo,cl,59.0,67.0,11.41,0.0,1601221569.0
-35.17,173.17,ahipara,nz,56.57,80.0,16.31,12.0,1601221703.0
70.47,-68.59,clyde river,ca,30.2,92.0,8.05,90.0,1601221703.0
-21.2,-175.2,vaini,to,73.4,78.0,5.82,75.0,1601221703.0
28.37,129.48,naze,jp,77.0,73.0,6.93,73.0,1601221703.0
22.57,59.53,sur,om,83.32,53.0,3.96,34.0,1601221704.0
10.52,7.44,kaduna,ng,80.89,67.0,4.99,50.0,1601221704.0
-13.88,167.55,sola,vu,79.61,81.0,17.76,12.0,1601221705.0
-33.93,18.42,cape town,za,61.0,58.0,6.93,20.0,1601221637.0
-22.27,28.75,mathathane,bw,82.8,29.0,12.5,0.0,1601221705.0
-16.52,-151.75,vaitape,pf,79.5,76.0,14.67,24.0,1601221705.0
-0.6,73.08,hithadhoo,mv,83.12,66.0,3.11,54.0,1601221706.0
69.7,170.31,pevek,ru,32.92,92.0,20.74,67.0,1601221706.0
17.2,-25.09,ponta do sol,cv,89.6,66.0,20.8,75.0,1601221706.0
-6.84,-79.93,pimentel,pe,68.0,68.0,3.36,90.0,1601221707.0
-22.97,-42.03,arraial do cabo,br,93.2,55.0,5.82,100.0,1601221603.0
63.44,-20.27,vestmannaeyjar,is,50.0,93.0,11.41,90.0,1601221530.0
63.05,179.32,beringovskiy,ru,33.62,86.0,11.18,6.0,1601221707.0
50.72,136.63,solnechnyy,ru,46.22,83.0,4.56,16.0,1601221708.0
17.49,44.13,najran,sa,89.6,14.0,6.93,45.0,1601221708.0
59.06,80.86,kargasok,ru,43.83,91.0,8.03,65.0,1601221708.0
67.45,153.68,srednekolymsk,ru,42.48,63.0,9.01,100.0,1601221708.0
50.41,80.23,semey,kz,47.88,58.0,10.56,91.0,1601221709.0
-53.15,-70.92,punta arenas,cl,42.8,81.0,14.99,90.0,1601221538.0
14.9,-24.5,sao filipe,cv,80.98,81.0,8.23,45.0,1601221709.0
12.48,123.38,puro,ph,81.3,78.0,3.47,40.0,1601221709.0
22.89,-109.91,cabo san lucas,mx,84.0,83.0,3.36,5.0,1601221608.0
4.88,-1.76,takoradi,gh,77.9,85.0,11.83,64.0,1601221710.0
-31.67,116.67,northam,au,54.0,93.0,4.7,88.0,1601221710.0
28.48,-16.41,tacoronte,es,73.0,77.0,24.16,75.0,1601221498.0
10.57,72.64,kavaratti,in,82.02,79.0,11.61,35.0,1601221711.0
35.13,140.3,katsuura,jp,68.0,94.0,2.24,40.0,1601221711.0
-36.62,-64.28,santa rosa,ar,67.71,43.0,16.44,44.0,1601221711.0
-46.13,167.68,tuatapere,nz,33.01,93.0,14.0,80.0,1601221635.0
-9.8,-139.03,atuona,pf,77.76,74.0,15.95,5.0,1601221712.0
60.92,-46.05,narsaq,gl,41.0,41.0,5.82,20.0,1601221712.0
-5.55,150.14,kimbe,pg,75.79,87.0,4.43,67.0,1601221713.0
19.73,-155.09,hilo,us,69.8,73.0,6.93,1.0,1601221713.0
-4.62,55.45,victoria,sc,80.6,83.0,11.41,40.0,1601221713.0
-42.78,147.06,new norfolk,au,46.99,72.0,1.99,11.0,1601221605.0
-35.02,117.89,albany,au,55.4,93.0,5.82,75.0,1601221714.0
-43.3,-65.1,rawson,ar,58.6,36.0,10.76,0.0,1601221714.0
-34.53,20.04,bredasdorp,za,59.0,51.0,11.41,50.0,1601221715.0
-33.59,26.89,port alfred,za,57.92,61.0,14.36,0.0,1601221715.0
48.75,-79.0,macamic,ca,64.4,88.0,18.34,90.0,1601221715.0
71.97,102.5,khatanga,ru,32.74,91.0,15.59,84.0,1601221716.0
-20.23,164.02,poum,nc,75.04,83.0,12.24,71.0,1601221716.0
11.28,-15.83,bubaque,gw,81.81,75.0,9.37,61.0,1601221716.0
20.7,-105.2,ixtapa,mx,84.99,78.0,1.52,40.0,1601221716.0
3.07,172.79,butaritari,ki,81.95,79.0,13.24,83.0,1601221622.0
-0.74,-90.35,puerto ayora,ec,70.0,86.0,8.99,99.0,1601221244.0
-2.65,10.0,gamba,ga,76.66,74.0,10.6,41.0,1601221244.0
