Latitude,Longitude,City,Country,Max Temp,Humidity,Wind Speed,Cloudiness,Date
-75.6340044875051,9.383816843168233,hermanus,za,42.01,95.0,5.14,89.0,1601171190.0
-38.653022816999254,119.32373833288631,albany,au,60.8,82.0,10.29,9.0,1601171190.0
3.8052019069934886,-37.272625064733944,itarema,br,77.0,83.0,15.1,52.0,1601171190.0
71.95143116169501,-15.77442911591615,husavik,is,51.8,66.0,10.29,20.0,1601171190.0
-24.53803315024082,-49.66929747271135,pirai do sul,br,66.45,49.0,2.39,7.0,1601171191.0
67.81010984654591,-63.80271730273377,pangnirtung,ca,32.22,90.0,2.84,79.0,1601171191.0
34.8266003338976,-126.71073024537738,half moon bay,us,77.0,72.0,13.87,1.0,1601171191.0
-45.39155827089802,76.09069202786236,mahebourg,mu,69.8,83.0,4.7,75.0,1601170983.0
7.098274544456146,-113.96643254943416,san patricio,mx,84.2,79.0,1.77,40.0,1601171192.0
39.126671726347695,-2.9182945049553837,tomelloso,es,57.13,61.0,10.76,2.0,1601171192.0
4.89343520737394,-70.55417471724745,la primavera,co,75.87,91.0,2.91,100.0,1601171193.0
-35.81176978641137,99.36454522108306,busselton,au,64.99,69.0,7.94,100.0,1601171193.0
6.003319018791387,43.33118152517136,xuddur,so,70.34,80.0,11.74,20.0,1601171193.0
59.922743982205645,-23.9958409234211,grindavik,is,42.8,93.0,10.29,40.0,1601171194.0
27.703037387667578,71.62484538397669,pokaran,in,80.62,74.0,12.55,0.0,1601171194.0
